Question,Answer
The picture shown here is not the S4 active. Is the picture just wrong or am I getting the wrong protector.,"Hello Kenneth Brown, We apologize for the misunderstanding. The main photo is not of the S4 Active however, this listing is for the S4 Active. The other photos are pictures of the S4 Active with the screen protector applied. Thank you for your concern. Have a nice day!"
Since the s4 Active is waterproof.....Is this water resistant? Has anyone used it underwater?,"I have the s4 active and have submerged it fully underwater with the armorsuit on it and haven't had a single problem. The armorsuit is the best screen protector I've ever had, after getting one for my galaxy I bought another for my ipad. Love them"
What is the diffrence between the full screen coverage and case friendly?,Most cases overlap onto the screen a bit. This screen protector allows for that by leaving a thin border all around. The coverage is more than adequate.
did this device really put the sassy back into snazzy?,You bet
Will this stick on a soft silicone rubber type cellphone case?,Yes. It's literally a piece of tape.
How do you remove it?,Same adhesive you would find on the back of really sturdy tape... just peel and rremoe. You will probably have to wash the back of your case or phone with rubbing alcohol to remove all the gunk
Is it reusable? Can I take it off after a run and then put it back on the next time I want to use it?,"I don't know if it is, but I really don't think so. That's why I bought 5. One for each of my cases."
Will this Really fit on the Galaxy S 5? According to measurements Looks like it will cover the speaker vent.,"I do not have the Galaxy S 5 I'm still hanging on to my Boost (forget what model); it's not the fit so much as the quality of materials used. To be honest please excuse my vanity, but I was expecting something in leather or faux either way I don't expect this to last long with my constant phone use. No worry's I'm not asking for my money back it's just that I thought it would be something nicer. Mrs. Gerfen"
How do you remove it?,Carefully pull it off.
Will it adhere to a leather Kindle whitepaper case?,It's got a pretty serious adhesive back. It'll probably stick well to just about anything that's at least mostly smooth.
did this device really put the sassy back into snazzy?,You bet
Will this stick on a soft silicone rubber type cellphone case?,Yes. It's literally a piece of tape.
How do you remove it?,Same adhesive you would find on the back of really sturdy tape... just peel and rremoe. You will probably have to wash the back of your case or phone with rubbing alcohol to remove all the gunk
Is it reusable? Can I take it off after a run and then put it back on the next time I want to use it?,"I don't know if it is, but I really don't think so. That's why I bought 5. One for each of my cases."
Will this Really fit on the Galaxy S 5? According to measurements Looks like it will cover the speaker vent.,"I do not have the Galaxy S 5 I'm still hanging on to my Boost (forget what model); it's not the fit so much as the quality of materials used. To be honest please excuse my vanity, but I was expecting something in leather or faux either way I don't expect this to last long with my constant phone use. No worry's I'm not asking for my money back it's just that I thought it would be something nicer. Mrs. Gerfen"
How do you remove it?,Carefully pull it off.
Will it adhere to a leather Kindle whitepaper case?,It's got a pretty serious adhesive back. It'll probably stick well to just about anything that's at least mostly smooth.
did this device really put the sassy back into snazzy?,You bet
Will this stick on a soft silicone rubber type cellphone case?,Yes. It's literally a piece of tape.
How do you remove it?,Same adhesive you would find on the back of really sturdy tape... just peel and rremoe. You will probably have to wash the back of your case or phone with rubbing alcohol to remove all the gunk
Is it reusable? Can I take it off after a run and then put it back on the next time I want to use it?,"I don't know if it is, but I really don't think so. That's why I bought 5. One for each of my cases."
Will this Really fit on the Galaxy S 5? According to measurements Looks like it will cover the speaker vent.,"I do not have the Galaxy S 5 I'm still hanging on to my Boost (forget what model); it's not the fit so much as the quality of materials used. To be honest please excuse my vanity, but I was expecting something in leather or faux either way I don't expect this to last long with my constant phone use. No worry's I'm not asking for my money back it's just that I thought it would be something nicer. Mrs. Gerfen"
How do you remove it?,Carefully pull it off.
Will it adhere to a leather Kindle whitepaper case?,It's got a pretty serious adhesive back. It'll probably stick well to just about anything that's at least mostly smooth.
how does it work,It comes with a USB plug in for charging from a wall plug or a computer. Then you plug the USB side into the battery and the other side into the iphone. Works great.
how you check,Not good at all... the backup doesn't stay charge long.
how you re charge,Recharging can be done by either the USB port or the mini USB port and while plugged into a PC port or electrical outlet.
Would this work on a Raspberry Pi? And for how long?,"It all depends on what kind of load your putting on the raspberry pi, also depends if you overclocked it or not... on idle I can't see it lasting more than a day. The powerbank is meant for giving your device that extra push, not as a main power source."
does it come alone ? or does it come with 5 ?,"If you are talking about the USB connectors, I believe it only came with a couple. I bought them as gifts because I have another brand and it's wonderful. My family and friends didn't want to ""hurt my feelings"" only my walet, so they didn't tell me the usb connectors didn't fit. If you are talking about the item it's self there is only one and you can choose from different colors. The people I bought for have a variety of phones, from i-phone to Samsungs and the connectors did not fit :-("
how many come in pack,Only one.
Is there any indicator on the battery to tell you how much power you have left in it? like indicators likes that light up from a press of a button?,"No, it only lights up when you plug it in to charge and the light turns off when it is fully charged."
"Mr, i&Acirc;&acute;ve just bought two of those and one of them when its charging doesn&Acirc;&acute;t turn the light red to off and its not charging the device...","Junk, send them both back"
how reliable is it,"It's not reliable. I bought two, one came damaged and the other one only was working two months."
Can I use this to charge a Motorola G cell phone? Thanks!,"If your phone has a USB extension, then you can charge it with this. Hope this helped"
Does this back up charger come with a usb cord?,Yes it does. :)
How do you charge the portable battery once it runs out of juice?,"I never got them....they were unable to ship them from China....I do have another brand and you charge them by taking the smaller usb into the small usb port and the regular usb side into a larger sorce usb, like a laptop or car charger. Good Luck."
Is this compatible with the iphone 6?,yes it is you would have to get the usb cable for the iphone 6 to plug into the charger
DO you have to battery,If you're asking if u have to charge it . Yeah
Why doesn't it have a light indicator on it,It's supposed to but I bought 2 and both were broke
So I bought one of these from you guys a couple weeks ago and it worked fine until just recently. When I plug it in to charge it doesn't. What do I do,"Mine did the same thing and I have no clue how to answer your question. Mine didn't even charge my phone, it drained the battery."
Will this work for an iPad air?,"Yes, but you need to use your own USB cable to plug into Power Bank and charge iPad Air."
Does this work for iPhone 5?,Yes :)
To charge it through an electrical outlet how do I do it. Does it come with a cord to plug it to the outlet and power bank?,I use my phone charger to plug it into the outlet.
"Once the Portable Battery Charger runs out of juice, how do you re-charge it so it has full power in the Portable Battery Charger agian?",Plug it into your regular phone charger...simple as that....
1. what does the blue light mean? 2. what does the pink light mean? 3. what does the red light mean? 4. how can you keep it from wasting battery?,"Blue light means its charging a device. Red light means it no longer holds a charge, and you need to re-charge the battery.(Although my device has a red light when plugged in to re-charge) Not sure about how to keep it from wasting battery? I guess do not plug it into device until you need to recharge."
Does it come with a Iphone 5 usb?,No it only came with a micro usb cable but u can use your cable to charge ur iphone with it .
Few minutes charger the battery portable Backup?,At least take an hour
bought a power bank and it did not have instructions as to when to charge or how long.,Charge till the red light turns blue. then your good to go.
How do you know when the icontact is charging?,The light will light up.
How do you turn it on,You just plug in your USB cord and it automatically turns on. and when you plug the cord out it turns off
is there any more info,Not much more to say recharge it and use it as a portable charger. It works.
I bought this thinking that it would work with the I-phone 4S. Do you carry this?,Wow .... much much helping and good item
can it be used on any phone,as long as you have a USB port
what kind of phones will it change?will it a charge a htc onr,"im sorry, i do not know. i know for sure it will charge an iphone and samsung. i threw out the packaging already too"
How do you get a charge INTO the backup charger? Does it connect to an electrical outlet or require connecting to a laptop/computer to recharge itself,It take most of the same electrical house charger that the cell telephone use also it come with a cable that you can use your computer to charge it.
"How long does this hold a charge? A complete answer would require a graph, but a ballpark figure would help.","It seems it doesn't hold a charge that long because I charged it in the morning and by the afternoon it was no use to me, I barely got 5% charge out of it."
Does it work with an iPhone 4?,"I'm using an LG phone and it works great...if the IPhone 4 takes the mini usb cable it should be fine...most phones take the mini usb, but I'm not sure about the Apple phones."
how does it turn on?,"It doesn't have a power button. As long as it's fully charged it will work. When the device itself is charging, there is a red light that comes on and when it is done that goes away and when it's charging your phone there is a blue light that turns on!"
Will this back up charger charge my iPad???,yea it will definitely charge your iPad.
what do the color indicators mean? (mine was missing the instructions),Mine did not come with instructions either. Blue means fully charged and red means charging but not full. Hope this helps :)
Can I use this with a Pantech Maurader cell phone.,Yes you can use the iContact Lip-Stick Sized Portable Power Bank Charger with your Maurader Cell Phone. The IC-PB212 comes with a micro usb to Usb charging cord not sure if the Maurader uses a Micro usb to charge the phone however the PB-212 is universal if not you would just use the usb charging cord that came with the phone.
that supports all cell???,No
How long does it take to recharge the power bank ? And how will i know when its done charging?,A good few hours and when it stops blinking:)
galexy note 3 wall charger,not include galexy note 3 wall charger
Does it fully charge the phone?,Yes! It works great and charges the phone pretty fast.
Do you have to charge the portable charger or use batteries,I have to charge this device from wall electric outlet or from computer after each use! I am charging it over the night! It has instructions to use!
what is the input and output for this device(amps and volts) how long does it take to fully charge it and how long does the charge last,It just charge tell 60% then it strat dieing &#128554;
Is it five of them or one for this price,Just 1
is it compatible with archos arnova tablets,"I dont know. It didnt work at all. I tried it charging but it doesn't charge at all. I kept it on charging for 3 hours, 6 hours and 10 hours , entire day, nothing happened. I was going to use this to charge my S3 phone."
what all dos it come with and how was it performance. i have a galaxy s4 . i need it for on the go when my phone go dead !,It came wirh a short adaptor for charging. I bought two. One stopped working and that other never charges completely. I will not buy this type again.
How long do you need to charge it for?,Don't buy it. I only had it for 1 day and it stopped charging.
How do you know when it needs to be charged?,When you plug it into your phone and nothing happens
Will it work with iPhone 5?,"Hi, Yes it will work with the iPhone 5. It will also work with any other device which can be charged via USB port"
How do you charge it? Dones it come with a y cable?,It comes with a usb cable. You can charge it through your computer.
r these batteries good foe vaping ?or do u suggest something better ?,They are alright. They will work just fine I'm most devices and last about a day or day and a half before needing to be charged. If using a mech mod I suggest getting Sony 30 amps instead.
Is IMR okay to in Vamo 2?,Yes they will
Are these ProVari friendly ?,I been using it for a while with no problems
Are these batteries the same size as standard AA batteries?,No. They're significantly bigger.
I can't believe the dimensions aren't listed. Could someone tell me in mm what length and diameter they are? Thanks,"The answer is in the name of the battery. It's a 18650, which means it's 18mm x 65mm."
are these good for mechanical mod?,"There are better batteries, but theses can easily safely get to .8 ohm, scary at .6 (no problems YET but I won't be surprised if they vent) and supposedly a max lower limit of .3 but I haven't gone that low and probably shouldn't. But I use these I'm my k100 all the time."
How do I charge this? Does it come with a charger?,This add is only for two batteries. I bought a Nitecore Intellacharger i2 for charging. It's not too expensive and charges almost any battery you can think of.
They are good and safe for sub ohming?,"they are ok to use in e-cig at as low as 1.6ohms,,they are high drain discarge,,iam getting more for my e-cig ,,These are lio-mn and they dont go up in flames like lion batterys can,hope this helps,"
does anyone know if i can use this button top with my sid?,They work great in my SVD but I believe the Sid requires flat top batteries. The maker of the batteries also has a flat top version of these.
Does 2 Pieces mean you get two of these batteries?,Yup. When I ordered I got two batteries. And after a month of using them in my vaporizer... They are great! I highly recommend them.
Can you refill the pens?,They did not last long enough to need refils. Most either broke or did not work from the start
What is the ink color?,all the same color which is black or pen ink.
What is the ink color?,Black
hello this product could be used in mexico? I have direction in eu but I live in mexico,As far as I understand they can be used outside the US the only problem is there is no support as of right now
its code invited,But what does that mean? We have to buy an invitation to even buy the thing? What's the deal with that?
What is the pebble rx case ga 4c 00012 a14 case made of ?,"If this is the stand glass case it is a soft ""leather"" upper with a bottom portion that is hard shell reinforced to protect the more delicate glas components. Not the greatest case, but it has protected my glas very well in a lot of trips."
"What's the difference between ""Google Glass Explorer Edition Shale (Grey)"" and ""Google Glass Explorer Edition(XE) Version 2.0""?",the only version out is the XE version but this is the old one a 2GB version is out. It is also called XE.
Is this V2.0 ?,No
if i buy the glasses do I have to buy a code or anything else to activate them? and how much is this code if so?,You don't need to buy a code or anything else to active them
"Hello Deal Leader, I was wondering why you can only ship to within the US? I am a long-time Amazon user and unforunately I live in Japan.","Hi : Thank you for your interested, but due to the agreement with google, we could only sell this item in us, if you have a friend who live in us , you may could ship this item to him/ her, and ask him to ship to you. I am sorry for any inconvenience. Have a nice day!"
here a shape or size difference between the Samsung galaxy centura &amp; Centura S738? Looking for cases?,S738 is the model number of the Samsung Galaxy Centura. (Full model number is SCH-S738C)
"Does this not have a clip, as the pictures suggest?","Yes, it has a clip."
"The picture shows a stylus, yet I don't see the copy saying it's included. Does it come with the phone?","it said when I purchased it that a stylus was included none came with the order, I told them that I never received it, they advised me that they would send it as of today I have never received it."
what covers the screen?,"Case nicely covers & protects the sides & back of phone, but nothing covers the screen. I use a high quality screen protector from Best Buy."
Is the stylus attached to the case?,No and it's not the same color as the case.
is this like the otterbox case? does it have a something to protect the screen too?,No bur it is a good case you can buy a screen protector for it they are pretty easy to put on.
Is there a way to hook the stylus to the case. I need stylus to type phone numbers,Not on this one that I know of.
is it slippery,No
"I just ordered this case for my phone, but what i want to know is if the stylus pen happens to fit in the case somewhere?",No. You'd have to make something that would work. I suggest a string tether of some sort.
Will this fit a Tracfone Max PATRIOT ?,"What I can tell you is that if I remember correctly, you will find that information where this product is listed for sale. Other than that, I have no idea what size or shape the Max Patriot is. If necessary I can give you the dementions of my phone which is a samsung. Sorry I can not be more direct. You can always ask the seller too."
does the kickstand work well?,"Yes, but I haven't used it often."
will this case also work on a tracfone max patriot phone,"Hi, I don't know, call Amazon and ask. I used it on a TracFone Century until I got my I phone! Good Luck."
it shows a pink stylus that whould come with it right,Mine came with a matching stylus. I have the red version.
Is it just a snap on or is it protective of the screen?,"It is a snap on, but it's not one of the super hard cases. You can bend it a little. I have it on my phone and I've dropped it a couple times and my phone is still perfect c:"
does it have the raised edges around the front screen??,Yes
Is it a hard case or is it soft silicone?,Hard
Is it a hard case or is it soft silicone?,It is hard
Is it a hard case or is it soft silicone?,Its a hard cAse
ships from.....?,"China, I believe."
is this a good phone case like is it worth the wait and the money?,"The phone case comes quicker than expected. It's very good quality. It's very strong and durable for the price, and the photo on the back is very nice and clear. Definitely worth the (short) wait and small price."
does it go over the front of it,"No, it does not but fits perfectly on all other sides."
Do they melt in hot weather?,Mine never have.
Will these melt on hot days?,not at all. These have been AWESOME
are these the pads w a thousand little suckson cups?,It is more like the whole thing is sticky.
Are these items wrapped in there own package or plastic covering to keep them from sticking to one another?,"Yes, they come wrapped individually."
Will this work on a samsung brightside?,"If your phone's charging port is standard micro USB, then yes it should. It worked with my Samsung Vibrant and MyTouch 4G because both of those phones have micro USB ports."
Will this fit a LG Optimus Pro phone,"As long as it's micro USB, you won't have a prob. Maybe a lil iffy in the car. Make sure you have a car charger putting out more than 2.0 amp"
Will this work for an Ipad 2,NO
Will it work on a LG optimus?,"It may, but it only lasted for 2 weeks. Don't think I'd bother to purchase again."
does it work with iphone 5?,"No, it won't. IPhone 5 uses a Lightening Connector, not the micro-USB this cable has."
does it Work on galaxy S4 ?,"Yes it does. Lights move various speeds as it charges, then lights go off when 100% charged."
"Is there a warranty on this item? If so, what are the terms?",YES this is one year warranty. This is origianl and new Bluedio parts
"Are the play/pause, track advance and volume buttons touch sensitive? And if they are, are there problems with accidentally hitting the buttons?","The buttons are actual buttons, that click and require pressure to actuate."
"Battery life? Is it keeping that charge over time? Looks like MEElec AirFi and battery on my AirFi weakened, then wouldn't hold charge after 14mos.","Mine stopped holding a charge after about a year. Love the device, but seems to be what happens with them"
Can it be used while charging?,"Yes,But when you connect with the charger,it will turn off first ,then you turn on the headset, it can listen music again! In the future,we will complete when charging,it can listening music directly! thanks Best regards Bluedio team"
What kind of charging cable does this exactly use? I need to replace mine.,Sort like a 3.5mm sized tip it is a little thinner and has a USB end. I think if you don't have the exact same version the charging tip will not work. I noticed bludio has product specific charging cables. So I would not recommend buy this for charging replacement.
Will it use the microphone of headsets that have a built-in microphone?,"No it will not, it will only use the mic built into the bluetooth device itself"
I accidentially somehow changed the language to chinese (I think it's chinese) Does someone know how to change it back to english?,"the language could be accidentally changed into Chinese. When under the pairing mode(blue light keeps bright), you can press the MF button and the volume - simultaneously, and you can hear a beep, then the language is changed."
What is the difference between the models 14s and 14?,"Actually Its (i4) I4s and I4. I4 is bluetooth 2.0 and has raised option buttons on the device for play, stop, etc,. I4s is bluetooth 3.0 ( better range, better battery life, faster data transfer if your using it for such a task) and is backwards compatible with 2.0 devices. Also the option buttons are flat and flush with the device which makes for a seamless and smooth look and feel."
Can it use with Android phone?,Yes if it's Android/Bluetooth capable.
How well and seamless does the multipoint work ? Can i connect to tablet to watch movies and simulatenously connect to phone to receive call ?,It works pretty well you can watch a movie and be connected to your phone. When the phone rings your movie will stop to allow you to talk.
anyone know how to change the language it speaks at first it was in English now its in Chinese I would think is a combination of button presses,"Hello dear customer, it can be switched. In the pairing mode(blue light remains bright, not blinking), press the MF button and volume - at the same time, and then the language is changed. Hope it helps a little."
I got i4s but couldn't get it paired with Samsung phones. Hold the button to see the blue light flash quickly but the phone couldn't find it.,"Hold the button on i4s until the light stays on, not flashing, then release. The light should stay on without flashing, this is the pairing mode. Turn off and then turn on your samsung bluetooth and it should start searching for the i4s, if not, push the samsung bluetooth search for new device to find it. You should see the i4s show up on Samsung bluetooth list. Check the instruction sheet that came with i4s for a more detailed instruction."
Does it support Auto Connect? (if you switch the headset off and on will it connect automatically to the device?),"Yes, it supports. As long you have paired it with your device successfully at the very first time."
Can anyone tell me how to prevent it from coming on at top volume? hard on the ears if you forget and turn it on with earbuds in.,"I don't recall it happening to me, but keep i4 volume on medium and control higher volume with phone. ..I usually turn volume down on the phone before disconnecting or powering off!"
Will this work with iPad?,If the ipad has bluetooth.
"Please be clearer on how to change the language back to English. Explain ""pause the Bluetooth first""","switch on unit. once connected. tap the on/off button AND The volume down button at the same time. every time these two buttons are pushed at the same time, you can hear it scroll through all the different languages. just keep tapping until you hear your chosen language"
"hello sir, can we use this device to send songs from my smartphone or my mac computer to a powered speakers (10 ft away) with RCA input jack on this speaker ? thanks in advance.","Yes, I use rca jack to connect it to my Onkyo receiver and stream through my iphone"
Is this small enough to make my headphones wireless but not look too conspicuous?,It is small. About the size of my pinky long and and a thumb wide. My husband mounted it inside of his motorcycle helmet. He loves it. The thing he likes the most is not only does it connect to his phone it also has a blue light that let's you know when it's charging. There is a clip on the back that allows you to place it anywhere. We removed that and added velcro so he could mount it. It has volume buttons and buttons to answer and hang up calls. Plus a mic and skip forward and back buttons. We love it. I hope this helps.
I lost my charger. Could someone tell me what is the charger's output specifications. I wanna know if i can use my phone's charger.,"It plugs into the usb port, so anything that is powered or charged by usb can be used. I purchased a spare cable for a Nokia phone and used it! http://www.amazon.com/gp/product/B004PBFG0Y/ref=oh_aui_detailpage_o01_s00?ie=UTF8&psc=1"
Is there a mic on the device or does it rely on an in-line mic on the headphones?,It's on the device.
"I lost my charger cable, can I get it replaced without buying a whole new headset?","From the picture, it looks like a Nokia charger plug. If there's a Radio shack in your area they probably have a large assortment of charger tip adapters (typically there's a number of dummy charger tips on a ring so you can just try likely looking ones). Downside is that this isn't going to be a lot cheaper than just buying a new unit. If you go to rat shack and find the one that fits, could you answer your own question so other folks'll know?"
Am I missing a charger or is the only way of charging this unit via usb port? Does not look like the picture in the manual.,"Hello dear customer, i am sorry the package doesn't have a charger included. You can use a charger for your phone to charge the headset, 5V, under 1A would be okay."
Any users using multipoint actually in day to day life with this Bluetooth ? Experiences ?,"The one I have doesn't work well, unhooks after about 30 seconds then you most reconnect."
"Is the charging Pin same as Nokia Thin Pin ? If i lose the charger, can i buy nokia thin pin charger and will it work with this BT device ?","it's like the Nokia charging cable. There isn't a wall plug charger. If lost the cable, a Nokia thin pin would be okay."
it says support multipoint on description but on technical detail is markes as NO ... does this support multipoint to connect 2 devices at same time ?,"Dear, it supports multipoint to connect 2 devices at same time .I Will correct the detail soon. Hope this help Bluedio team"
"Does this kit allow for plan unlimited data (5GB), unlimited text, 100 min talk that was launched for walmart customers?",Yes I just started that plan with this product. But you have to activate on the t-mobile website.
Does this come with $30 credit or is it only the sim card?,It come with $30 credit and a sim card.
"100 minutes, talk, so, it mean when you received a call, you are wasting from your 100? or only when you call?",Both ways
"I'm buying a new moto g unlocked, I want to purchase this sim card, I already have a tmobil acct and want to keep my same phone # can i switch numbers","Yes, just dont cancel your current account until after you port your number over. It is very easy!"
Does it require an IMEI number,Yes it does!
Can I keep my current phone number if I switch to this plan? (Right now I have verizon),"Yes, but it takes up to three days to transfer your number. Instructions for this will appear in the setup process."
So this is a micro sim with the $30 credit already on the card right?,Yes.
Does it work with the LTE Nexus 7?,I'm using it with nexus 4 and nexus 5. Both work perfectly so I don't see a problem with the N7
"If i don't put prepaid card after 90 days, will my number become useless or still activated?","I'm not 100% sure, but I believe if you register the number on their website, the number stays allocated for a while. I have a prepaid SIM that had not seen activity for 8-9 months (between GS4 launch and Nokia 521 sales) and it still worked. I put $10 on it to test a phone and it was fine, same number and all. T-Mobile will probably not guarantee your number to stay available indefinitely, but you won't lose it immediately."
Does this kit work with an unlocked Iphone 4s,"I don't see why it wouldn't. To use your data though you have to change the APN settings for t mobile. All you gotta do for that is open safari, go to unlockit.co.nz, I believe, then download the APN settings thing, then choose the T-Mobile prepaid one I think. I had to do that when I had go phone on my 4. But I have this T-Mobile on the nexus 5. But yeah if your 4s is unlocked it should work."
"This item can't be found by my phone or PC. I'm following directions from all devices and getting no where. Suggestions, before I send it back","press the power on/off until you see the blue light steady (blue light on, not blinking) then let go... Now, go to your device bluetooth settings, put it in search mode and wait. is it take about 5 seconds to find the bluedio t9+. if is asking for a code just input 0000, or may give you a automatic access number just select yes...."
can you listen to music,No can not listen to music
Does this support Android voice dialing? The last Bluedio headset I bought didn't work with voice dial.,I'd let you know tomorrow... cause I ain't used it in like a 3months..it keeps cutting out on me as I talk like the range between my cell in my pocket and the bluedio in my ear..it disconnects..but I'll charge it to see if it does great on voice dial
does this come with a micro usb charging cable?it says yes but the pic of the cable is not a micro usb cable.,"Yes, it is a USB style."
Anyone with a Majicjack that can help me hook it up to a Bluetooth. Majicjack says it works.,I just never try! May be
Does this unlocks the Samsung galaxy S5?,No it's not supported yet
"Does this unlocks other phones free? How LG, BlackBerry, Alcatel,.. I mean Without paying additional",No you have to pay for each additional module LG etc
Can you manually enter an IMEI in and unlock that way without physically having the phone?,No. You need the phone
Does this unlocks the Samsung galaxy S4 ?,Yes it does.... I unlock mine :)
supports s3?,it does
"Goodnight, what is the difference between this edition and blue edition of GPG? Another question. The price is included the activation?",blue edition - is the newest version of z3x box but functionality is the same as for black samsung activation is included in this price
"Goodnight, what is the difference between this edition and blue edition of GPG? Another question. The price is included the activation?","Hola Nestor. We have mostly the new edition from GPG. The difference is that the GPG model comes with dual smart card reader, an extra just in case you need to use the box as uart interface only or you can see it as a spare reader. Activation is included. Operations are unlimited, no yearly aditional costs or memberships."
Does this unlocks telus note4,It does not support those models yet
works whit SHG-A157?,No perrita
"Hi, i purchase this product weeks ago, and i have tried to run hardware wizard unsuccessfully. Could you help me?",Same problem I have.... I bought it through a reseller here in the USA and the product came from China no customer support they send you to forums to download software and drives... I'm ready to give bad reviews. Sorry we are on the same page
I am confused on how to charge the charger. below it says your power outlet so do you hook it to your phone's plug for charging?,You switch the USB cord around and then plug it into your computers USB port. I was confused at first too. Lol
I bought a set of these for gifts. One has a rattle when shaken. The others seem to have odd alert light combinations. Explanations would help?,"There should be a manual in the box describing the lights, if you have not got this manual you should receive a link to it very soon via email, as this is set up as a standard procedure. If not do contact me via a mail where I can submit an attachment as I cannot do it via Amazons email - you can send me an email via our lemikdk dot com site. The rattling sounds like an error so do ask Amazon to replace this item or again send us a mail via lemikdk."
how many charges for iphone until battery is dead,"I see this as 2 questions : 1) how many times can you charge before having to recharge the remote charger - well that is purely a matter of from which state you charge from - I myself has charged more than 10 times before charging the remote charger again, however if the phone is totally down each time you charge it's another matter - then maybe two to three times before charging the remote charger again. 2) When is the battery totally dead and you have to buy a new charger - this is a matter of where you contain the charger on a daily basis (a cool place is better than directly in the sun) and again a matter of from which state you charge from, so it is in fact impossible to say,however, I have had my own for a year now, and it is still functioning. When this is said, then it is not necessary to buy a new charger if you use one with a replaceable battery as for example our stainless steel charger, which also have a larger capacity than the one in question - try to look after ASIN B00I01P196 in the amazon store."
Can you tell me when it is charged and what the blinking red light means? Can you send me instructions?,When its blinking multicolors or a steady green or blue its fully charged. Red means its still charged. When it blinks its charged.
Does it work on the ipad Air,"The only thing I can suggest is try it - I know that the capacity (2600 mAh) is too little for Ipad 3, but I am not sure with the iPad Air. If it not works with the Ipad Air then you have a possibility to return the item. We will, however, in the spring have some luxury chargers with larger capacity and I can give you a promocode for this if you find out that this does not work on the iPad air, and you decide to keep it anyway. Just send me the receipt for payment and confirm if it works or not, and if you wish to keep it anyway."
"what cables, are needed? Does a cable come with it?",No cables come with it. You need your normal cable for your device with a normal USB connector to attach to the charger
Does it take 2 double A batteries ?,no it is chargable from your power outlet
Does this constantly charge?,"No, once you push the button on the back, it does charge. But unless you have pushed that button it will not."
Would this work on iPhone 5s?,"Yes, It does. I have the 5s."
Is this product Apple-approved so it will work with future IOS updates?,"It does not specifically say apple approved. There's just a sticker that's says for iphone 5/5s. But one key note is that the USB connection doe not allow for file transfer. You'll have to remove the phone from the case which is not hard, and using the original cable. I do it all the time...kinda a hassle. But this charger has worked great so far, compared to the cheaper battery chases. I've returned so many because they were cheap or stopped working."
will this work in an iPhone 5c? does the iPhone s &amp; C have the same size? Thanks in Advance,Yes it works perfectly thanks for the item
can i stop it once i started charging?,"Hi Andrey. Yes, you can. Simply press the power button at the back of the battery."
size? weight?,"It is 5.5 inches by 2.5 inches by .75 inches, without the phone it is mere ounces. The heaviest part is the extra battery."
This works for Iphone 5c ?,No
"Does the power button toggle power on and off when pressed, or just on?","If you're referring to the iPhone's power button, it will still toggle power On and Off."
From 0% how much does it charge?,It varied a bit because of useage that stays on (like location services and push notifications) but it was a consistent extra 35-45%
Does the Top layer stay on pretty well? If I drop it it wont pop off will it? I am thinking maybe this and glass protector is best vs defender?,Yes. It's an amazing case
the front view of case shows a strip running along the top and the bottom....is this part of the outer case.....or a second piece?,There is only a front and back. The lines/strip is just the design. Use for my iPhone 5s and love it.
Will this fit the Iphone 5C?,The C and S have to different shapes around the edges. If it does not specifically say 5C do not buy it! I have the 5S and love this case. Can't use the Touch ID but it is ok
Does this product have a screen protector?,"Dear Buyer, Please see the full description of the product below: Body Glove Shocksuit Series Case The Body Glove ShockSuit marks a new step in slim yet rugged design. Engineered to meet MIL-STD-810G Military standards, this case is built to withstand the roughest of conditions. ShockSuit features a built in screen protector to shield your device from scratches, while the outside cover offers an enhanced grip protective shock absorbent corners for drops and bumps. With full 360 degree coverage, your device's buttons and ports are covered, while the camera remains unobstructed. ShockSuit: ultra rugged, shockingly thin. Screen Protection Shock Resistant Full 360 degree Coverage Hard Shell Protection Slim Profile Enhanced Grip Meets Military Specs"
Can you lay a phone or tablet (Nexus 7) down sideways and charge it or does it have to be in an upright position?,I have the nexus 7 tablet (2nd gen 2013 by ASUS) and it has to be sideways to charge.
How long is the power cord?,"There is a 5 ft cord with the charger and yes it is a unique power cord,"
Does it work with Nexus 6/HTC one m9?,With the Nexus 6 I know it works because I used mine with it. The M9 I don't know
will this work with the Kyocera Brigadier,"Yes, it took some digging to verify that the standard used on the Brigadier is Qi, but the spec sheet right at Kycoera says so. http://www.kyoceramobile.com/brigadier/Brigadier-Consumer-Spec-Sheet.pdf"
Will this charger work with Nexus 6 using a i-blason armorbox?,Not sure but I never take my case off to charge
Charger is twitchy with my Samsung Galaxy S6--but only upright. Sideways it is very forgiving where it is placed--is this normal?!,Not sure on the S6.....my S5 with a thick case was great sideways but not so good upright......i changed to a different thinner case and no problem....
Does this make your phone over heat? And how long can it sit on this device before it overheats?,I have used the tylt with an LG G2 and G3 and haven't experienced overheating. I am not positive but I believe that it has the same protection against overcharging (source of overheating) as normal chargers.
I understand this will work with the Galaxy S5's standard battery. Is this correct?,"Yes, but you need to have a wireless charging back on the S5."
all of sudden it requires the phone to be placed just right to charge? is the unit defected?,"I would think if it were defective, it would just stop charging entirely. I have had the Vu act a little picky before, and solving it required doing two things: first, unplugging the Vu charger for a moment then plugging it back up, and second, rebooting my phone. One or the other worked in my case and it's been fine ever since. If you just put a new, thick case on your phone, that could affect the ability to charge as well."
"Where can we find the ""back door"" accessory to make the phones compatible with these chargers?",The answer truly depends on the phone that you need this for. For some phones there are oem accessories that will convert them to Qi wireless charging and for some there's the aftermarket solutions to allow Qi wireless charging. If you can be more specific on the phone you in mind we can point you in the right direction.
will it fit a 5s?,"Yes! They are the same size. :) you're going to love it! Promise, no regrets here. :)"
