prompt,response
would this fit 2012 subaru forester,it exstends 17in tall
my 2007 Street  Glide already has a sissy bar docking system can these two docking systems be mounted at the same time?,"17"". However I use with the Camco 44595 stabilizer jack pads  (4 pk.) for additional height. Each pad gives an additional inch. Jack stands fit into the pads so there is no slipping!  Anymore height one should try using a scrap piece of 2x12 lumber."
is it fit for 2013 highlander?,Leveling
can you attach a basket to these?,its more 4 stabilizing but works great
Fit 1996 Honda Accord?,7.7 lbs total weight for 4.
"Well, I see this fits in a 4 inch diameter piple.  What is the LENGTH of the entire unit?",All four come in the box.
"The instructions say ""Torque the bolts to 10 NÂ·m (7.3 lbfÂ·ft). Can someone suggest a torque wrench that will do this?""",all 4 (they are very light)
Can the existing vent cover open 100% without binding up against the new ub1500 cover. Are the UB1500 covers hinged on one side?,All 4
Will this cover fit with the bimini top folded down?,"There light can hold up to, 6000lbs....my box came with other things the weight for total package was 8.8lbs I think it's safe to say 7lbs for all...."
will these fit a 2013 Hyundai Elantra GS   COUPE??,for all four.
Do these lights come with LED capacitors?  Some of the reviews mention this as part of install. Thanks for your response.,All 4.  and with the stems removed they nest into a very compact size (As they are packed).
Does it stretch o a larger size?  Is the cord like a bungee material.,We are having absolutely no problems with them on our tip-outs on a park model.  We also purchased the pads that these are made for so they would be evenly held.  They would work fine on a class A.
Could this be used to replace a standard knob door handle?,I don't think that would be a good idea - not heavy duty enough.
Does this fit a 2015 Prius 2?,I bought this for my new Ford Escape SUV. I should have paid more attention to the dimensions because it isn't large enough to reach across the cargo area. It looked substantial and like it would have been great if it had only fit.
What is the expiry date?,I use it in an Explorer Sport Trac 2nd generation. It makes it across and works fine. I use it mostly for grocery shopping bags.
This did come with bolts and brackets. Was it suppose to?,Can't you just add 'extensions' by using short bungee cords?
It will fit the BMW GS 1200 2008,It will probably be too big.  You have to screw brackets into the side of the interior of the car.
will this battery work in a golf cart?,Yes
Will it work  in Honda CR-V LX 2014 and some additional parts for complete installation ?,Yes
Does this particular Philips H4 Xtreme Vision headlight bulb have both HIGH and LOW beams??,It's  fits a 2003 Chevy avalanche it should fit your Ford  explorer
Do I need an adaptor? My truck has the four little rectangle lights.,Yes. Just be mindful that if your trunk doesn't have hooks you might have to drill screws into your panels.
Will this fit a 1973FX,"If you have hooks for the netting to attach to, in the rear compartment, it will work. 4 hooks would be better than 2 hooks."
"Is this the Hitch that has a 10"" drop not a 7"" drop, also with 3 adjustable balls?",You should have no problems at all. It fits in an 03 Explorer size should be the same.
will this fit on front and back of my dodge charger,It has loops at the top on the right and left sides. It also attachments for the loops to fit over. It works very well. It is in our Envoy.
I have a 2009 VX Cruiser - will this fit it?,They're like 4 knob type hooks. You can place them however you want.
"If i order the dixie air horn and the horn button switch with wire kit, will i need any additional wire, etc. to install?","It should, mine is in an Edge"
"Are they 1/2 X 20 thread, And what socket size?",If the need is a standard width I'm sure it will.  You will have to drill pilot holes in each side of the bed to put the knobs on so you can hook the net over them.
"does it fit a 2014 kia soul, and does the key come out on the side?",The net is a universal size so I don't think you buy one specific to a model car. Mine is fitted to a 77 Pontiac Grand Prix and it contains items and stops them being flung around around rather than looking looking like the example in the picture.
"can this be used as go kart motor? if so, do u sell the battery for the motor?","This one will be a good fit for your car...as long as u have 2 ""buttons"" on each side of the car for the corners...hope this helps!"
will this fit a 2002 tundra.,I have 2007 Impreza Outback Sport. It's smaller than 2011 Outback. But I'm pretty sure it will fit your Subaru.
What comes in the box?,I have across a Chevy Avalanche so I'm pretty sure it will fit an Outback
The tire I am replacing is a 75R.  What does the D represent?,Yes it will fit in 2015 CRV.
does this have purple trim,"Measure the inside of your Honda CRV.  The box states 44"".  Stretching it, it prob is.  I come up with 42""...I should have measured my truck before I ordered."
Does anyone have the winch on this bumper?? I'm wondering how you access the free spool lever when the unit is hidden behind the bumper?,This is built for a standard size truck bed.  You have to drill four holes in the upper portion of the bed to insert and secure the net.  I have a standard Chevy pickup and the fit is really snug.  I would measure the distance on both a standard size and if they are the same or yours is less than two inches smaller it should work fine.
"I am looking for and need same item front and rear rack extensions to fit 2003-04, Polaris, 500, Sportsman to bolt onto the factory vinyl racks.  Any?","It's somewhat large but works ""ok"" in my New Ford Taurus. I had a net in my last Taurus purchased from the dealer that fit perfectly but was much more expensive."
will this fit scion frs,I have a Honda Accord and I want to say it will fit. It has stretch to it. Just make sure the back is metal. The hooks have sticky backs...Hope this helps =)
Can you use 134a freon?,did not fit my 2005 Aviator....had to use hooks and they did not help much. Sorry
will this work on stained wood?,"Best option is to use a tape measure and see if the dimensions in the ad will work out.  The kit includes 4 mounting 'lugs' which must be screwed into the paneling/upholstery (may not be ideal depending on how original-condition you want to keep your car).  However, I found the storage unit fit quite handily in the bed of my full size pickup."
Are these 20 hr batteries? If not what are they?,Yes as long as you put it towards the front back or sides. I put mine in the back of my Tahoe and it holds items in place. I really did not want to put holes into the vehicle so I put this basket in with some tape hooks.
"Where is this jack made, i.e. its country of origin?","8 1/2"""
"This came up in the search results for my 1998 VW Beetle (base coup, 2.0L); will it actually fit in my car?","I can't say for sure because the shaft was too short for my Traverse and I no longer have the hitch.  But maybe knowing it is a shorter shaft will help you.  Also, the further away from your vehicle you can get your trailer, the more clearance you will have, for the most part.  I have one now that works but I wish I had gotten a longer one, fyi."
"Hello, Which  is the real Shipping Weight? if I buy two pairs",Please refer to the Curt website for specific information about all hitches. That's always the best way to research such issues. I'm just a user without details.
rhd,Yes you can with sleeve adaptor.
Can I just buy the front mats? 328i 2008 blk,With a bushing you can.
"Is this a 2'' hitch opening or 1.25""","Yes, when used upside down it raises ball 2""."
"What's it like driving with it folded up, looks like it would cause alot of issues due to the added surface area.","yes, but the weight  carrying capability is diminished. The loads are printed on the hitch so you may decide if this is the correct hitch for your load"
Do you know how  many miliamps it draws? (using 12v) Any idea how many lumens?,yes
Will this intake fit a 260 cu.in.,"It's 3.5"", but so are my other two drop hitches."
Is it a heated seat like the stock seat?,"3.5, plan accordingly. Many of the ither tow ""brands"" are actually the same manufacturer and I don't know if they round the same way"
Will this fit on a 4 door Toyota Carolla with no roof rack?,Not sure of the length but it fits all standard 2 inch receivers.  It`s a well made mount at an excellent price.
does it work on BMW's?,"5 3\4"" at it's shorted point"
"Will this system fit the 07 Civic Si,  4DR Sedan?",The shaft is 6 inches long.
will the grill fit a 2000 honda civic ex coupe?,Pin hole is 5/8 inch in diameter.
Do these mats have spikes on the bottom to help keep them in place,the pin hole is five-eights . And the ball mount size one-eight of an inch. Hope that helps
Would these fit my 2014 328i sedan? And does this include 2 front mats?,one inch
Will it work on a fxsb,"It's about 1/2"" . Large enough to fit any standard pin. The hole for the ball is 1"" and is large enough to fit  a ball of any size."
Run Time Before Failure--How reliable for how long?,Don't know. Not sure that option was there a year ago. Still don't know what it is. Sorry
will this starter work for my 50 hp Johnson 94 model?,"this hitch can only be used in two positions: 1st position will give the ball a 2"" drop and position 2 will give the ball a 2"" rise in height"
"can the vehicle be towed with windshield attached, what keeps the windshield from scratching the hood when top hald laid dowm","Assuming that it is the proper model for the vehicle, it would not interfere with access to the spare tire."
Is this a subaru light kit or just the bulbs?,It worked great on my 2006 4Runner.  It has the spare under the load space.  The hitch bar is out behind the spare tire and the hitch does not interfere.Curt did a great job on their manufacturing.
Will these fit a 2014 Nissan Frontier Crew Cab?,Yes you should have no problems fitting the unit. Observe the new bolts wrapped in the square hole before you buy new ones.
"Can any kind person tell me the width of the crossbars?  Wondering if it will fit my canoe width, thanks!",Yes I installed on a 2007 gx470 without removing the spare tire
What additional hardware is required for toyota camry 2012? Which Bypass interface do you recommend?,It fit great on my 06 GX470 with the spare under the body.  The fit is very close but did not touch.
Hello...Will this product harm the wooden heels on my booties or should I cover the heels before spraying?,It came with everything needed.  My husband installed it with no problem and we pull a large boat with it just fine.
Is it chrome? Because the picture is matte black. Just wondering,Mine came with all new hardware.  The install was fairly simple with the exception of having to move the electrical connector for the trailer lights.  I ended up mounting the connector at an angle with a single bolt.  I've been happy with it.
will these fit a 2013 ford f150-FX4 model with little factory fender flares??,Move the trailer connection first!!! Also use a pipe for leverage on the bolts. They are really tight. All hardware included. It takes about an hour. A second set of hands is really helpful.
"Are the 2 mounting brackets,screws, and instructions included?",It came with the correct size and grade of bolts to fit your vehicle.  It bolted up perfectly.  Very good build quality.
Will these fit a 96 Dodge Ram 1500 Sport?,"As I recall, eight new ones are included. You will need 1/2"" & 3/4"" wrenches. Keep the mount towards the left to avoid a tailpipe rattle."
for what make model and year,"It does come with the bolts.  You do have to relocate the wiring harness, but it was fairly simple."
Will these fit 2011 Road Glide Ultra?,it comes with bolts
does it have functioning brakes,Yes sir! i bought this for my toyota 4runner 2007 model and it fits perfectly (can't complain) hope my answer helps! Have a nice day!
1998 acura integra,"Yes, it will fit your 2007 4Runner according to the Curt Manufacturing website. I installed mine on my 2003 GX470 and it fit perfectly."
WILL THE CARGO MAT FIT 2012 RDX?,It will fit 2007 4runner fine.
I'm new to Solar Power. I want to use this to power a 500 watt 5K BTU Window A/C unit. I will be using a 100W solar kit to charge the battery. I'm ok?,"No, it was for a 2004 Lexus GX470, it fit fine."
Should have said in my last question I live in Europe so the drivers door is right hand side and passenger is left.,Fit my 2006 4runner limited with zero issues.  Quality hitch and a great price!
"Will it fit a '95 Civic EX Coupe with 1.6 VTEC, without modification for the connection to the catalytic converter?  (Some said it is too short?)","Yes, I installed it on my 2007 4Runner SR5."
Will it fit my 2007 Nissan Altima?,"Yes, it was a perfect fit for my 2007 4Runner.  I did have to clean out the ""Pretapped"" bolt holes in the frame before I could install - rust and dirt clogged the threads.  Other than that it was a cake walk to install."
Will the light be as white using them for DRL (Low Voltage) as the High Beam? 2010 Lexus IS 250C Original Equipment with HID Low Beams - Halogen DRL / High Beam.,On a 2006 4Runner it was a simple bolt on.  The muffler is a little in the way so I had to pry it out of the way a little to tighten the bolts.  It is attached with flexible rubber clamps which allows it to move enough..  Took me about an hour to put it on.
will this bulb fit my 2004 Cadillac escalade?,On a 2005 Lexus GX470 it was just as simple as bolting it on.
Will these fit a 2000 GMC Sierra 1500 4 wheel drive?,Don't have to cut anything.  It just sitting snugly under the bumper :)
How far will it extend past the current hitch once it is placed into it?  I am hoping for about 10-12 inches to get it past my tailgate.  Thanks!,It's a simple bolt on
"Does it have a hole to pour fuel in from a smaller container, or must you back pump it in?","No, Curt 13445 does NOT fit your quest. The one that does fit is Curt Manufacturing 13572 Class III Receiver. Or Reese Towpower 33017 33 Series Class III/IV 2"" Square Tube Professional Receiver with Hitch Plug Cover. Both can be purchased in Amazon. Hope this helps."
Does this come with the needed software and will it work on a 2013 passat?,"I agree with Gman, this one will not fit your Quest. Can the Quest handle a 5,000 Lb. tow??"
can TKT021 fit on my 2000 tundra 4.7  thamks,I have no way of knowing.  We need to ask Curt Manufacturing.
will this fit a KIA Sorento 2013,I plugged in '03 gx470 and this is the matching receover for your vehicle.  I put one on my 4runner last year and have been very pleased.  Hope this helps.
do i need a wiring harness,Yes. Nice quality and bolts rite up.
I have a 2013 silverado 1500 extension,It might given they share the same wheel base but I haven't seen explicitly it does. Sorry couldn't help more.
Can the separate compartments be removed and have it as one big storage area?,"Yes, it did fit. Thanks."
What are the dimensions of this item?,It fit my 2004 GX 470 perfectly.  Not a difficult installation.  Works great.
bought 2 1 willnot telescope any suggestions?,If the hitch is not obstructing it in any way?Then yes it will...
"Do these headlight assemblies come with the bulb, or do they need to be purchased separately?",Simple bolt-on to my '96 dodge 2500 without removing the stock hitch.
Does this item come with the window wires?,Not sure because I had to drill holes in the bracket that came with it to fit my 79 but it's a good bumper
can i use on freezer of 113watts?,"This bumper is manufactured for a full size F150, and will not fit a Ranger."
does this fit 2009 sonata?,I realy do not know. Modifications had to be made to the 1997 chevy for secure mounting though
"the item says it weight is 1.6 pounds, but says the shipping weight 10 pounds, is this a bug or 10 pounds of shipping weight is right?",Yes it should if you get the correct mounting kit
"is the ""male mount"" the ""splined adapter mount""?",The one we ordered was for a 94 GMC. If you order one for your model of truck then yes it should fit.
Will it fit a 2013 honda crosstour?,"Sorry, don't know"
will they fit a 2014 dyna wide glide?,"Yes, but you will also need to purchase the Westin 92240 mounting kit."
where is made,yeah when i bought mine everything lined up perfectly but it wasnt long enough to connect to the stock mounts. so i went to a local metal shop and cut the difference and then welded it to the stock mounts and then connected the bumper
Can any one help with Bluetooth pairing code tried 0000 and 1234 and too many more to list. Thanks,It fit my 97 and there the same.
will these work on a 2000 HOnda crv EX???,It fit my 96' the old one is a huge PIA to get off though.
Would this fit an 06 Ford F150?,"Apparently only if the vehicle was made after May 1994, and then only with the mounting kit."
will this fit a 2013 st,Not sure how different it is from a 99 but I believe it should work for you. Just got to get the right brackets and fits nicely
what size is this offer?,only a couple of the holes matched up on my 2001 dodge. I think there is a mounting kit for it now though? it does look good though.
"does it work on GM ,Ford ,Toyota,what other car maker can it work on thank you.",I have a '96 Ram 3/4 Ton. It fit great with the separate mounting kit from Westin.
Is this a single cover or a pair?,It fit my 1995 Dodge Ram 1500 perfectly. Very easy install.
will it fit a 2006 dodge grend caravav with a 3.3?,yeah it should fit .the boxes from a half ton all the way to the one ton are the same I think the bumpers a good deal for the money. this bumper is somewhat of a universal type: replacement part don't expect it to bolt right up oem like. you will either have to buy the mounting bracket kit or make your own. I chose to make my own.
WOULD THIS Cap fit my rims # 905K106 XD SERIES,"These pads are for the bar that is mention in the description only. Find out the style of your bar. The pegs are different for each. Some are 3, 4,, & 5 pegs depending. Found out the hard way."
Does this include all four or just 1?,have no idea what your asking
Will it work on my Hyundai 2005 X350 and remove the light??,Overall length from tip to tip 20 inches Overall width in the center 3 1/2 inches
Do these mats work with a 2013 Maxima?,"Mine is just over 21"" long and 3¼ "" wide."
Are these black?,19 3/4
Is the hood steel or carbon fiber?,1 pad per order. Clips are seperate also
Are the rear sills the same size as the front ones?,One
would this work for a vw 2003 jetta,When I ordered mine they came in singles
Has anyone used them on a Honda CTX 700?,Only One. It needs 4 clips to install.
If i buy two pairs can you put them in the same box?,I would not attempt to use it on a Chrysler Town & County Van since there is noheavy steel plate to mount and drill 4 holes to; like a pick-up step and tow bumper. It is a univeral fit matching an open steel plate.  I wouldn't trust it to carry anything if drlled to fiberglass or other body molding or material.
"Can this be used to glue a lightweight metal frame (with screen) 4""X16"" to painted cement board?",No
does it work on fabric?,Most likely not.  This is intended to mount on step bumpers on pickup trucks.
Will these fit on a 2010 traverse,"I purchased 3 of these to anchor a winch to to make the winch versitleIt looks like it should fit most any application,, very simple  just 4 bolts"
would it fit a nissan navara 2010 model,"As long as you have clearance and it is securely fixed it should work great. I would caution pushing the limits of weight fi you are using it outside the recommended parameters. I bolted mine on the bottom of my factory jeep receiver. I needed to do this to clear the swing arm on my bike rack, when opening the tail gate. It worked perfectly, but I only used it for my bike rack. I would not have even considered hauling a trailer down the road."
"There are 6 in this offer, correct?","I can't see why it wouldn't work ok, as long as it isn't severely overloaded."
How tight of a fit is it when it wraps around?,It is bolted on underneath the factory bumper hitch ball location.  the Toyota would have to have holes located I believe.
will this fit my 99 accord coupe??,Yes. It will fit on any bumper but u may need to drill holes in your bumper to line up all the holes
Does this come with wireing harness?,"It is a generic 4 bolt hook-up.  I am sure you could adapt it to fit a 2009 Toyota Tacome with a secondary mounting plate, if necessary.  My concern is that the strength and integrity of the Tacoma bumper may not support the load carrying ability of the hitch mount."
Will this fit my 2013 Silverado 2500HD 4-door Crew Cab Diesel?,"the front holes are 5-1/2"" center to center   the rear holes are 4-1/4 center to center"
Does this product come with the brush guard?,I am unsure as to what you want to mount this to ? I mounted it to a golf cart to move small things around . It wotks for me .
What are the exact dimensions of the cloth?,Is this fits on ford explorer 1998?
does it fit on a 2006 civic?,"Don't see any reason why not. It should work fine. It's a 2"" receiver. It will work in either horizontal orientation."
"Under no load, how long does it take to raise or lower the jack to its full stroke length?","Sure, is the table heavy enough to support the bike weight?"
Will this work with a 2000 honda accord ex v6 with driver side power mirror?,"sure it fit on a table, but the table may tip over, once your rackand bike is on, but yes it fit on table. way dont you just put the bike on the table"
"Would these work in my 2002 Tacoma, extended cab?",Yes it does.  Good unit.
will this cover fit a GMC Acadia  SUV bucket second row seat,"Yes, it does."
What whrench size fits with this spark plug?,Yes it does but I welded it to my bumper
How does this mount to the hood above the gril section since the grill is bolted to the top part of the hood?,I don't know if the memory cable can be ordered seperately but I tried using the memory cable but it didn't work for my application.
How long does the wax last?,"The memory lead is actually a 25 amp fuse. When you disconnect the battery by turning the knob, if you try to start the motor the starter draws so much amperage it blows the fuse. You can find these inline fuses at most auto supply stores."
If I set this dish up in my apartment does it have to be by the window or not?,Three will be enough!
"It looks like it's 2 position, down and back. Can it be modified to be 3 position, down, back, or foreward?",Black
is it gen 3? is it waterproof?,"Well technically could do either, but I recommend connecting it to the negative terminal."
Will these fit on a 2007 Subaru Impreza?,negative. why do you ask?
"Are these stickers pre made, or can you add something to it?",negative terminal
Will this work on a 2009 lexus is250 awd?,Disconnect the ground cable from the battery.
will this fit my chev colorado 2010,"Normally you put the disconnect on the positive terminal in a negative ground vehicle.  However, after checking throughly through the system on on of my vehicles I couldn't get it to work.  So I put it on the negative post just making sure there no other connections.  Use an ohm meter to tell you if it's OK."
"I have a GMC 2011 Silverado, series 1500,crew cab can this rack be used with drilling.",Double-check the fitment on your battery terminals. It will usually only fit one. Typically it's attached to the negative terminal of the battery.
Does this item fit a 01 S-10 ZR2 fleet side?,Neg
"Does it come with acid separate, or already in it?",Neg
"I'm pretty sure this is the case, but if I power this with 3.3v, will the logic level also be 3.3v? If I power it with 5v will it be 5v or 3.3v?",Think most recommend switching the negative post.
Will these fit my 2015 VW golf?,Interior cleaner is just a cleaner has no protectant or shine.  Natural shine vs supreme shine is the difference in the level of shine.  Supreme shine will have more shine than natural shine.
Will this fit a 2014 Avalon,Natural Shine is not as shiney as the Supreme
In order to use the feature to call you does the Panel have to be hooked to a land line or can it dial through internet? Does it send any notification,"Sorry, never used it for that. I use it for all interior plastic/vinyl, and just started trying it out on the tires.I bet you can get it cheaper at WalMart though...."
Are these Weather Tech mats Digitally cut as seen on TV to fit my 2013 Ford Escape? Are they Black,"I currently use this on tires and anything else rubber and it works great. If your gaskets are in decent shape, give this a try"
I installed this part and when i hit big bumps it makes a clicking sound. is this bad or just normal? Also i installed it with the boot at the top. is that backwards?,"Imo, only good on plastic material.  I tried on my fake leather part, it leave residue."
Is this gas powerd,"In no way this product is intended to be used with leather interior. They have a leather product line that Ive also tried and is reaaally good. I will check the name tomorrow. The smell on this product is AWESOME, better than deodorants and its not oily. Seems to be a water based solution because if you get it in your hands it easily dissipates with no residue."
will this detect / display air bag srs codes?,Chery smell. Good
"Will this fit a 2001 Suburban existing compressor has "" Debphi Chassis 15070878  092-1-D"" on the compressor housing",Good
hi. Does this kit come with a battery?,"It smells good, very clean with a hint of cherry. I used this on my plastic trim and it worked great but, they have a line of leather products I would use instead."
"I have a 2007 Triton enclosed snowmobile trailer. I believe it has either 3/8"" or 1/2"" plywood floors. Will these work on my trailer?","It's Smell is great, clean crisp and non offensive,also not stick or slippery. I Use Meguiars Gold Class leather products on my leather covered wheel and also the leather seat in my Restored 87 El Camino. I use Natural shine on my other cars dashes and door panels etc. All Meguiars products are great as are Mothers."
How much fluid does the funnel hold comfortably  - in liters or ounces? Does the funnel have marking on the inside?,"This works very well for interior plastic and vinyl and smells very nice.  I really like the UV protection it offers.  As for using it on leather, best to E-mail Meguiar's directly and ask them.  They are very good at responding and you will the professional answer to your question."
how do you install this iteam,"I use Natural Shine to clean and protect. For a quick clean, I just use a damp microfiber cloth."
"Has anyone tried essential oil blends in these bottles? I usually use glass, but these would be so much better if the oils don't dissolve the bottle.","No, you don't. I clean with a damp soft cloth."
Are these going to fit my 2014 honda civic sedan EXL,No it's just another product just use the shine it cleans and protects
She is 120v or 220v? I want the 220v. thank you!,I think it is not necessory. I don't see much different between meguire quick interior and others.
does it come with any mounting hardware or do i need to order it as well?,You don't need it.  But one tip.  Quik Interior Detailer has light cleaning abilities.  So what is commonly done is using quik interrio detailer for it's cleaning ability.  Especially on lightly soiled interiors.  Follow that up with Natural shine or any of the protectants.  The protectants last longer with a clean and prepped surface.  It's a good 1-2 combo.
Will this fit 2003 M3 convertible? Thanks in advance,"It kinda restores the rubber of the tires to what they looked like when new. It definitely is not a wet or high gloss look that lots of people like, but then wears off quickly."
Anyone ever use this on a subaru forester 2014?,I never tried it on the exterior of the vehicle. I only use product on my dashboard.
Do you have to remove the skid plate?,Works well on tire wall if you don't like shine. Give the tires some depth to their color. I would use a dedicated leather protectant.
DOES THE LIGHT CHANGE ANGLES WITH THE MOUNT,I dont think it will provide a durable finish since it is not meant to be used on tires and absolutely not onleather. Only vinyl products. For tires you want to use their spray on gel which will last way longer on the tires.
does this come with all the nessicary hardware to install and install stock wheel back? I have a 2011 f 150 stock 17'' rim would like to push the tire,"This product is OK to use on tires but may not last as long as products designed specifically for tires.  The label says to use this product on vinyl, rubber, or plastic & it works great on those. I would not use it on leather."
will it fit subaru forrester,I wouldn't use this on tire walls. The best thing I've found for tires by far is a tire gel. I've used this on leather trim on my car and it works nicely. It will make it a bit slippery though. You may want to look and see if Meguiar's has a leather-specific treatment for cleaning your seats.
will it fit a 2006 nissan maxima sedan,"The blades that have this type of wiper are ""Rain-X Repel"""
does it come with a gasket,No activation wipe is included.
"I'm wondering how thick these covers are... my wife is barely reaching these pedals with her heal down, so any added thickness to the pad would help","Not sure if it matters.? I bought 2 for my lexus sc400 they work perfect ""both are on the front"""
Will these bars fit The 2013 GMC Sierra 1500 Extended Cab,I purchased and installed on the driver-side front windshield.
What class is this hitch?  III or II?,"It did not have any markings on the package indicating that it was a rear blade, but Amazon's car part matching magic listed it as the correct blade. Size wise it fit, but that connector part wastoo big to grab the pole in the rear wiper arm."
Are these tires bias ply tires or are they radial tires?,"It is just a wiper blade, not vehicle specific. You need verify what kind of mount your vehicle has"
Do they have LEDs on both sides?,"No, this is for the front windshield."
would it fit a 2001 chevy impala,"this was for the front, drivers side of a 2009 Impreza"
Will this fit on my 2015 JK 4 door?,This was for the front driver's side of a 2009 Impreza
would this device shut down the engine that is is attached to if someone has use my car without permission,fits the rear window of my 2005 Toyota prius
Will the light work in a 24 volt system ?,Yes it will fit your car
r the very loud,I bought it for a subaru
Is this product really black or it is like the Rugged Ridge that saids blanck and it comes on gray,"You need to check the adapter on your windshield blade actuator, this particular blade comes with three different types of adapters, it does fit almost all types of windshield blade actuators.  You can find out very easily if you look at what is on your car now and the pictures provided by amazon.  Also amazon has a fit check feature, I used it for all the parts I have purchased on my 08 mini clubman, everyone said they fit and when I received them it was a true statement.  Good luck."
Will this fit the 2006 Volkswagen Touraeg?,"It will fit nicely, as there is no floor in the tent the toolbox can remain in the bed of the truck. Ours fit in a 1998 Dodge Ram with a toolbox. On a recent camping trip with our 5 year old grandson, we put a dense foam liner on top of the toolbox and he slept in a sleeping bag on top of that, while we slept on an air mattress in sleeping bags on the floor of the bed. worked great! Room only for sleeping and stashing a few items on the side inside the tent."
Do you know if it would fit a 2004 Honda VTX 1300?,Fits our 2002. Would imagine it fits 2008. It does not fit with the tool box in it. We love it!
Does this item fit a 2012 Malibu LT,My husband says it depends on the bed size. The company has a website with specific truck models and the item numbers that work with them.
will this remote work with 2008 trailblazer LT ?,"For this tent, (which I love BTW) I would just measure the length and width of the truck bed from the outside. For a Ford Ranger you definitely want the smaller one I would think."
Hi  will this fit in a 2008 beetle thanks.,"Agree with Rachel...this tent fits a full sized GMC pickup bed, so would be too long and too wide for a Ford Ranger or other smaller size truck.  Great product though!"
does this have a warranty like hydro flask?,I dont know the answer to that question but I will tell you the other comments I have read (regarding sweating and condensation) have not been our experience (and we have used it in humidity and rain.  Coukldnt have been happier with this purchase.
Is the center cap 90mm? I need the VW part to measure 90mm.,Contact Rightline - they have versions and sizes available for different makes and models. Its a good tent.
"If my tacoma is already level should i use 3"" blocks instead of 2"" in the rear to maintain the level position? its 1/8"" lower on front now",we used it on a different vehicle and the airbed worked fine.  but do not know about the tacoma. ;( sorry
will this work with my 05 corolla,Yes. Depending on the size of your airbed. I bought an airbed that fits around my wheel wells.  Which fits great!
Will this fit a 2011 Challenger SRT8 6.4?,I have a 2002 GMC L/B and I suspect it's similar in size. It sits on top of the truck bed gunnels (sides) and leaves almost 100% clearance for a mattress that size. Off hand I would think you'll be fine with the fit and I can certainly recommend the tent as a good quality piece. Good luck.
Will these covers fit the 2014/2015 Camaro line as well?,You get the 1 that is for your type of truck. Mine is 4 a 2001 dodge short bed 4 wheel drive and works great.
How big is this?,"No, it attaches to it and also you'll loose about a foot of room with it."
who will cut thekey,You have to look at the length of the bed. This tent is designed to and fitted with the tailgate in mind. Without a tailgate it would be loose and not water tight and might not anchor itself properly.
will this fit my 2013 jaco jayflight swift 19' camper?,really needs the Tailgate because of the way it is designed :(
can they be cut?,I have a 2001 GMC and the tailgate seems to me to be an integral part to the set up. The back section loops around and over the gate to secure the rear 1/4th of the tent.
Other website says it will fit 2013 xterra x as well. Is this correct?,"I would never try it. It might withstand high winds blowing at it, but not the effects of a really turbulent wind like when you're driving. It takes 10 minutes to setup then 10 to tear down and pack away. It's worth spending that time instead of trying to drive off with it."
will this switch work in a 2000 club car ds?,It's a very cool tent but I don't think it will withstand that much wind. At least I have not attempted to drive with it still on.
how long is the 4 inch tip,"I Cannot guarantee - but I would guess yes. I bought the Avalanche style to fit my Ridgeline, the sides go over the outside and the inside of the bed rail with adjustable straps and the front (cab side) is completely open and goes over the top (about 30%) of the cab."
Will this fit a 2014 BRZ?,I don't think so.  The front is designed with drawstrings that cinch into the ridge between the cab and the rail system.  If you don't have something the same length and solid to make that connection it might leak.
Subaru Dealer sold me this filter for a 2011 Outback.  Much smaller than the ones I purchased last time.  Did things change?,"There aren't really any gaps for mosquitoes to get through, its just like a regular tent, only in your truck bed."
Does this fit a Ford E350 15-passenger van model?,no problems with that but I mounted a good size fan inside which creates positive pressure inside so this may stop them from getting in as well
Can these be used with hot water if I wanted to use them as inline H/C filters for my washer?,None on mine. We usually have a couple citronella candles around the camp ground too and that helps to keep them away.
will this fit the 2014?,"It hugs the truck tightly, even the tailgate. So as long as it's closed, there shouldn't be any problems. It clips along the outside and inside around the entire bed and the tension provided from the straps leave no gaps."
Whats the warranty on these?,"This is a grounding switch.  When closed it closes the circuit (which is grounded) and open, it opens the circuit.There is no grommet on any of the ones we have.   Are you including the black plastic push pin or just the barrel itself?  With the black push pin it measures 2 1/8 in. and barrel only from the nut down is 1 1/4 in."
would it fit a honda civic LX 2008?,"Yes, you should be able to close the tailgate but, you still have to isolate the lights from the ground of the truck.  When you  open the tailgate the switch will close, which in turn activates the ground on the lights.  The positive will go through the switch."
Will this fit 2008 BMW 328Xi?,"Yes. Assuming your electrical system is negative grounded, you're just gonna use this to open and close the ground side of the circuit. Much like most switches when you open the car door and the dome light comes on"
Is the lens plastic or tempered glass?,Yes.  Just connect the ground wire to the pin switch and you're good to go
is a two or only one,The switch can be used for that using the ground wire. That is what I used to activate my under hood led light.
The sensor is photoresistance (not a photovoltaic)...  needs an external 12V power supply.  Will it tolerate a range of 9V to 24V from pv?,Yes you can. We used ours in a tool box in our pickup truck. When the lid is lifted it turns on our LED lights.
Does your OEM replacement version use the same mounting brakets and mounting hole locations as the original Honda running boards,Yes you can! The pin switch will give you a ground when your hood is open !
Do you need to clean it out after using it?,The plunger is spring loaded and when it's released the contacts close.
Will it work on rav4 2007,"It just a ground interrupt like for a door switch in a car, thats what i used them for."
How much would PG&E charge for electricity used?,The chassis of the switch connects to a sheet metal ground. There is a spade lug on the center pin that you connect the ground lead to whatever device is being connected. The circuit is completed when the switch is relaxed (fully up) and breaks when closes.
